ROLL;PITCH; YAW;ACC X;ACC Y;ACC Z;GYRO X;GYRO Y;GYRO Z;TEMPERATUR;PRESSURE;ALTITUDE;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
ROLL;PITCH; YAW;ACC X;ACC Y;ACC Z;GYRO X;GYRO Y;GYRO Z;TEMPERATUR;PRESSURE;ALTITUDE;
1;3;-86;-284;-940;15152;51;-50;107;29.20;100.84;133.56;
0;3;-86;-200;-812;15308;76;-68;119;29.20;100.84;133.02;
0;3;-86;-200;-812;15308;76;-68;119;29.20;100.84;133.02;
0;3;-86;-200;-812;15308;76;-68;119;29.20;100.84;133.02;
0;3;-86;-200;-812;15308;76;-68;119;29.20;100.84;133.02;
0;3;-86;-200;-812;15308;76;-68;119;29.20;100.84;133.02;
0;3;-86;-200;-812;15308;76;-68;119;29.20;100.84;133.02;
0;3;-86;-208;-832;15296;78;-18;106;29.20;100.84;131.10;
0;3;-86;-208;-832;15296;78;-18;106;29.20;100.84;131.10;
0;3;-86;-208;-832;15296;78;-18;106;29.20;100.84;131.10;
0;3;-86;-208;-832;15296;78;-18;106;29.20;100.84;131.10;
0;3;-86;-208;-832;15296;78;-18;106;29.20;100.84;131.10;
0;2;-86;-220;-804;15376;66;-23;113;29.20;100.84;133.84;
0;2;-86;-220;-804;15376;66;-23;113;29.20;100.84;133.84;
0;2;-86;-220;-804;15376;66;-23;113;29.20;100.84;133.84;
0;2;-86;-220;-804;15376;66;-23;113;29.20;100.84;133.84;
0;2;-86;-220;-804;15376;66;-23;113;29.20;100.84;133.84;
1;2;-86;-340;-788;15348;56;16;109;29.20;100.83;133.56;
1;2;-86;-340;-788;15348;56;16;109;29.20;100.83;133.56;
1;2;-86;-340;-788;15348;56;16;109;29.20;100.83;133.56;
1;2;-86;-340;-788;15348;56;16;109;29.20;100.83;133.56;
1;2;-86;-340;-788;15348;56;16;109;29.20;100.83;133.56;
1;2;-86;-340;-788;15348;56;16;109;29.20;100.83;133.56;
0;2;-86;-176;-788;15336;84;-3;130;29.20;100.84;131.65;
0;2;-86;-176;-788;15336;84;-3;130;29.20;100.84;131.65;
0;2;-86;-176;-788;15336;84;-3;130;29.20;100.84;131.65;
0;2;-86;-176;-788;15336;84;-3;130;29.20;100.84;131.65;
0;2;-86;-176;-788;15336;84;-3;130;29.20;100.84;131.65;
1;2;-87;-340;-720;15248;60;66;133;29.20;100.84;134.38;
1;2;-87;-340;-720;15248;60;66;133;29.20;100.84;134.38;
1;2;-87;-340;-720;15248;60;66;133;29.20;100.84;134.38;
1;2;-87;-340;-720;15248;60;66;133;29.20;100.84;134.38;
1;2;-87;-340;-720;15248;60;66;133;29.20;100.84;134.38;
0;3;-86;-48;-956;14896;70;-83;89;29.20;100.84;131.10;
0;3;-86;-48;-956;14896;70;-83;89;29.20;100.84;131.10;
0;3;-86;-48;-956;14896;70;-83;89;29.20;100.84;131.10;
0;3;-86;-48;-956;14896;70;-83;89;29.20;100.84;131.10;
0;3;-86;-48;-956;14896;70;-83;89;29.20;100.84;131.10;
0;2;-87;-120;-732;15248;68;-207;140;29.20;100.84;133.84;
0;2;-87;-120;-732;15248;68;-207;140;29.20;100.84;133.84;
0;2;-87;-120;-732;15248;68;-207;140;29.20;100.84;133.84;
0;2;-87;-120;-732;15248;68;-207;140;29.20;100.84;133.84;
0;2;-87;-120;-732;15248;68;-207;140;29.20;100.84;133.84;
0;2;-87;-120;-732;15248;68;-207;140;29.20;100.84;133.84;
1;2;-86;-452;-676;15148;70;151;118;29.20;100.84;131.37;
1;2;-86;-452;-676;15148;70;151;118;29.20;100.84;131.37;
1;2;-86;-452;-676;15148;70;151;118;29.20;100.84;131.37;
1;2;-86;-452;-676;15148;70;151;118;29.20;100.84;131.37;
1;2;-86;-452;-676;15148;70;151;118;29.20;100.84;131.37;
2;2;-86;-560;-780;15176;96;261;114;29.20;100.83;131.65;
2;2;-86;-560;-780;15176;96;261;114;29.20;100.83;131.65;
2;2;-86;-560;-780;15176;96;261;114;29.20;100.83;131.65;
2;2;-86;-560;-780;15176;96;261;114;29.20;100.83;131.65;
2;2;-86;-560;-780;15176;96;261;114;29.20;100.83;131.65;
4;1;-85;-1092;-520;15268;80;71;136;29.20;100.83;134.11;
4;1;-85;-1092;-520;15268;80;71;136;29.20;100.83;134.11;
4;1;-85;-1092;-520;15268;80;71;136;29.20;100.83;134.11;
4;1;-85;-1092;-520;15268;80;71;136;29.20;100.83;134.11;
4;1;-85;-1092;-520;15268;80;71;136;29.20;100.83;134.11;
4;1;-85;-1092;-520;15268;80;71;136;29.20;100.83;134.11;
3;2;-85;-1012;-576;15252;61;35;119;29.20;100.83;133.84;
3;2;-85;-1012;-576;15252;61;35;119;29.20;100.83;133.84;
3;2;-85;-1012;-576;15252;61;35;119;29.20;100.83;133.84;
3;2;-85;-1012;-576;15252;61;35;119;29.20;100.83;133.84;
3;2;-85;-1012;-576;15252;61;35;119;29.20;100.83;133.84;
3;1;-85;-944;-512;15284;53;22;112;29.20;100.83;131.65;
3;1;-85;-944;-512;15284;53;22;112;29.20;100.83;131.65;
3;1;-85;-944;-512;15284;53;22;112;29.20;100.83;131.65;
3;1;-85;-944;-512;15284;53;22;112;29.20;100.83;131.65;
3;1;-85;-944;-512;15284;53;22;112;29.20;100.83;131.65;
3;2;-85;-996;-588;15224;31;-68;86;29.20;100.84;133.29;
3;2;-85;-996;-588;15224;31;-68;86;29.20;100.84;133.29;
3;2;-85;-996;-588;15224;31;-68;86;29.20;100.84;133.29;
3;2;-85;-996;-588;15224;31;-68;86;29.20;100.84;133.29;
3;2;-85;-996;-588;15224;31;-68;86;29.20;100.84;133.29;
3;2;-85;-996;-588;15224;31;-68;86;29.20;100.84;133.29;
2;2;-86;-776;-620;15484;62;-131;88;29.20;100.84;131.65;
2;2;-86;-776;-620;15484;62;-131;88;29.20;100.84;131.65;
2;2;-86;-776;-620;15484;62;-131;88;29.20;100.84;131.65;
2;2;-86;-776;-620;15484;62;-131;88;29.20;100.84;131.65;
2;2;-86;-776;-620;15484;62;-131;88;29.20;100.84;131.65;
1;3;-86;-292;-932;16608;103;-96;142;29.20;100.85;131.10;
1;3;-86;-292;-932;16608;103;-96;142;29.20;100.85;131.10;
1;3;-86;-292;-932;16608;103;-96;142;29.20;100.85;131.10;
1;3;-86;-292;-932;16608;103;-96;142;29.20;100.85;131.10;
1;3;-86;-292;-932;16608;103;-96;142;29.20;100.85;131.10;
2;2;-86;-568;-624;15200;85;32;130;29.20;100.85;131.65;
2;2;-86;-568;-624;15200;85;32;130;29.20;100.85;131.65;
